ShootDay|Status|Production Date|Seq|Scene Number|Scene Intro|Location|SceneDesc|ScriptPage|Scene Page Length|Est. Master Shot Take (seconds)|Est Time for Full Cov|EstMin|Character|Num of Speaking Characters|Sub Location|Time|Shoot Location|Daily Scenes|First Scene of Day|ShootDay2|BILLY|AMITA|MAJOR|UMA|LORRAINE|DAVE|ANAND|A.J.|LEENA|AMY|JUSTIN|SANDEEP|STEVE|GERT|ASHA|DILIP|SUSIE|OFFICER MORRENO|T.V. NARRATOR’S VOICE|TEENAGERS|TEENAGER 1|TRACEY|JILL|LIBRARIAN|CHARLIE
7|Not Done|11/12/2022|Sequence A|1|INT. |OFFICE BUILDING|INT. OFFICE BUILDING, ELEVATOR LOBBY - [DAY],(Billy and AJ working Sunday at 'Redhorse'.)|1|2/8|45|825|35|A.J. BILLY|0|ELEVATOR LOBBY|DAY|First Parish Sudbury, 327 Concord Rd, Sudbury, MA|18|1|2|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|Not Done|11/12/2022|Sequence A|2|INT. |OFFICE BUILDING|INT. OFFICE BUILDING, CORRIDOR - CONTINUOUS [DAY],(AJ talks to Billy about the robbery.)|1|1 4/8|120|1440|25|A.J.(6),BILLY(4)|2|CORRIDOR|CONTINUOUS[1]|First Parish Sudbury, 327 Concord Rd, Sudbury, MA|18|1|2|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Complete|10/29/2022|Sequence A|3|INT. |AMITA’S HOUSE|INT. AMITA’S HOUSE, KITCHEN - SAME TIME [DAY],(Amita and Uma Prepare Tea for Visitors.)|2|5/8|68|1076|50|UMA(4),AMITA(2)|2|KITCHEN|SAME TIME [1]|Lakeshore Drv., Marlboro|28|3|3|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|Complete|11/20/2022|Sequence A|4|EXT. |OFFICE BUILDING|EXT. OFFICE BUILDING, PARKING LOT - SAME TIME [DAY],(Billy Leaves office after finishing overtime.)|3|1/8|38|790|30|Billy|0|PARKING LOT|SAME TIME [1]|First Parish Sudbury, 327 Concord Rd, Sudbury, MA|12|4|8|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Complete|10/29/2022|Sequence A|5|INT. |AMITA’S HOUSE|INT. AMITA’S HOUSE, LIVING ROOM - SAME TIME [DAY],(Amita's family meet the Indian visitors.)|3|1 4/8|120|1920|35|ANAND(7),DILIP(1),ASHA(1),DILIP(2),AMITA(2),UMA(1)|6|LIVING ROOM|SAME TIME [1]|Lakeshore Drv., Marlboro|28|3|3|0|1|0|1|0|0|1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0
10|Complete|12/03/2022|Sequence B|6|EXT. |SMALL TOWN ROAD |EXT. SMALL TOWN ROAD - LATER [DAY],(Billy driving listening to pro-police rap music.)|5|1/8|38|790|25|Billy|0|LATER [1]|Maynard, Ma|10|6|9|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Complete|12/03/2022|Sequence B|7|INT. |BILLY'S CAR |INT. BILLY'S CAR - CONTINUOUS [DAY],(Billy cautiously driving and rapping.)|5|2/8|45|825|15|Billy|0|CONTINUOUS [1]|Brian Car|10|6|9|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Complete|12/03/2022|Sequence B|9.1|INT. |COMMUNITY CENTER |INT. COMMUNITY CENTER - SAME TIME [DAY],(Community Watch Meeting)|5|1|90|1320|30|ZETHEL BOONE(1),SERGEANT CARLSON(3),LORRAINE(2)|3|SAME TIME [1]|Artspace, Maynard|7|9.1|7|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Complete|12/03/2022|Sequence B|10|EXT.|COMMUNITY CENTER |EXT.,(Billy arrives at the Community Center)|6|1/8|38|790|15|Billy|0|Artspace, Maynard|7|9.1|7|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Complete|12/03/2022|Sequence B|11.1|INT. |COMMUNITY CENTER|INT. COMMUNITY CENTER, HALL - CONTINUOUS [DAY],(Billy speaks to Seargent Carlson)|6|1|90|1320|25|BILLY(6),LORRAINE(1),SERGEANT CARLSON(4)|3|HALL|CONTINUOUS [1]|Artspace, Maynard|7|9.1|7|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
